Month,Passengers,logofpassengers
Jan-95,112,2.049218023
Feb-95,118,2.071882007
Mar-95,132,2.120573931
Apr-95,129,2.11058971
May-95,121,2.08278537
Jun-95,135,2.130333768
Jul-95,148,2.170261715
Aug-95,148,2.170261715
Sep-95,136,2.133538908
Oct-95,119,2.075546961
Nov-95,104,2.017033339
Dec-95,118,2.071882007
Jan-96,115,2.06069784
Feb-96,126,2.100370545
Mar-96,141,2.149219113
Apr-96,135,2.130333768
May-96,125,2.096910013
Jun-96,149,2.173186268
Jul-96,170,2.230448921
Aug-96,170,2.230448921
Sep-96,158,2.198657087
Oct-96,133,2.123851641
Nov-96,114,2.056904851
Dec-96,140,2.146128036
Jan-97,145,2.161368002
Feb-97,150,2.176091259
Mar-97,178,2.250420002
Apr-97,163,2.212187604
May-97,172,2.235528447
Jun-97,178,2.250420002
Jul-97,199,2.298853076
Aug-97,199,2.298853076
Sep-97,184,2.264817823
Oct-97,162,2.209515015
Nov-97,146,2.164352856
Dec-97,166,2.220108088
Jan-98,171,2.23299611
Feb-98,180,2.255272505
Mar-98,193,2.285557309
Apr-98,181,2.257678575
May-98,183,2.26245109
Jun-98,218,2.338456494
Jul-98,230,2.361727836
Aug-98,242,2.383815366
Sep-98,209,2.320146286
Oct-98,191,2.281033367
Nov-98,172,2.235528447
Dec-98,194,2.28780173
Jan-99,196,2.292256071
Feb-99,196,2.292256071
Mar-99,236,2.372912003
Apr-99,235,2.371067862
May-99,229,2.359835482
Jun-99,243,2.385606274
Jul-99,264,2.421603927
Aug-99,272,2.434568904
Sep-99,237,2.374748346
Oct-99,211,2.324282455
Nov-99,180,2.255272505
Dec-99,201,2.303196057
Jan-00,204,2.309630167
Feb-00,188,2.274157849
Mar-00,235,2.371067862
Apr-00,227,2.356025857
May-00,234,2.369215857
Jun-00,264,2.421603927
Jul-00,302,2.480006943
Aug-00,293,2.46686762
Sep-00,259,2.413299764
Oct-00,229,2.359835482
Nov-00,203,2.307496038
Dec-00,229,2.359835482
Jan-01,242,2.383815366
Feb-01,233,2.367355921
Mar-01,267,2.426511261
Apr-01,269,2.42975228
May-01,270,2.431363764
Jun-01,315,2.498310554
Jul-01,364,2.561101384
Aug-01,347,2.540329475
Sep-01,312,2.494154594
Oct-01,274,2.437750563
Nov-01,237,2.374748346
Dec-01,278,2.444044796
Jan-02,284,2.45331834
Feb-02,277,2.442479769
Mar-02,317,2.501059262
Apr-02,313,2.495544338
May-02,318,2.50242712
Jun-02,374,2.572871602
Jul-02,413,2.615950052
Aug-02,405,2.607455023
Sep-02,355,2.550228353
Oct-02,306,2.485721426
Nov-02,271,2.432969291
Dec-02,306,2.485721426
